"","source","site","datetime","value","units","latitude","longitude","sample_depth"
"...119","BBAP","JT71","01/10/2024 15:00:00",0.28,"mg/L",25.8217,-80.1513,0.327
"...120","BBAP","BH22","08/28/2023 12:25:00",0.28,"mg/L",25.7597,-80.1776,0.199
"...121","BBAP","VR01","02/07/2024 11:20:00",0.25,"mg/L",25.8057,-80.1526,0.993
"...122","BBAP","CWA2","12/11/2023 11:35:00",0.19,"mg/L",25.7513,-80.1585,0.158
"...123","BBAP","JFK03","02/05/2024 11:35:00",0.24,"mg/L",25.8628,-80.1697,0.219
"...124","BBAP","BH22","12/11/2023 12:10:00",0.35,"mg/L",25.7597,-80.1776,0.597
"...125","BBAP","CWA2","09/25/2023 10:15:00",0.41,"mg/L",25.7513,-80.1585,0.218
"...126","BBAP","JT66","02/07/2024 12:40:00",0.28,"mg/L",25.8165,-80.147,0.693
"...127","BBAP","JFK03","12/05/2023 09:35:00",0.32,"mg/L",25.8628,-80.1697,0.758
"...128","BBAP","LR03","02/05/2024 10:40:00",0.69,"mg/L",25.8468,-80.1829,0.152
"...129","BBAP","JFK03","10/10/2023 13:25:00",0.37,"mg/L",25.8628,-80.1697,0.822
"...130","BBAP","DM08","02/05/2024 10:15:00",0.3,"mg/L",25.8398,-80.1704,0.053
"...131","BBAP","JT66","01/10/2024 13:50:00",0.29,"mg/L",25.8165,-80.147,0.792
"...132","BBAP","MRSC","08/28/2023 11:45:00",0.95,"mg/L",25.8072,-80.2599,0.156
"...133","BBAP","LR03","01/08/2024 11:50:00",0.72,"mg/L",25.8468,-80.1829,0.783
"...134","BBAP","JT61","06/11/2024 06:10:00",0.44,"mg/L",25.8169,-80.1782,0.76
"...135","BBAP","BB14","03/05/2024 10:45:00",0.23,"mg/L",25.83,-80.1586,0.285
"...136","BBAP","JFK03","03/04/2024 10:35:00",0.25,"mg/L",25.8628,-80.1697,0.6
"...137","BBAP","JT71","11/18/2024 16:25:00",0.22,"mg/L",25.8217,-80.1513,0.458
"...138","BBAP","JT66","05/07/2024 14:10:00",0.32,"mg/L",25.8165,-80.147,0.396
"...139","BBAP","JT61","07/01/2024 10:05:00",0.49,"mg/L",25.8169,-80.1782,0.706
"...140","BBAP","RB1A","03/18/2024 10:30:00",0.29,"mg/L",25.7524,-80.1954,0.766
"...141","BBAP","JT66","02/11/2025 13:35:00",0.18,"mg/L",25.8165,-80.147,0.496
"...142","BBAP","JT61","05/06/2024 12:50:00",0.4,"mg/L",25.8169,-80.1782,0.598
"...143","BBAP","VR01","11/18/2024 15:15:00",0.29,"mg/L",25.8057,-80.1526,0.614
"...144","BBAP","BB14","04/02/2024 10:15:00",0.22,"mg/L",25.83,-80.1586,0.502
"...145","BBAP","JT61","07/29/2024 08:40:00",0.31,"mg/L",25.8169,-80.1782,0.485
"...146","BBAP","CWA2","07/15/2024 08:45:00",0.34,"mg/L",25.7513,-80.1585,0.066
"...147","BBAP","JT71","10/02/2024 15:00:00",0.3,"mg/L",25.8217,-80.1513,0.186
"...148","BBAP","DM08","05/06/2024 13:20:00",0.52,"mg/L",25.8398,-80.1704,0.182
"...149","BBAP","BH22","04/18/2024 11:00:00",0.33,"mg/L",25.7597,-80.1776,0.784
"...150","BBAP","JFK03","04/03/2024 11:00:00",0.3,"mg/L",25.8628,-80.1697,0.443
"...151","BBAP","LR03","04/03/2024 10:10:00",0.61,"mg/L",25.8468,-80.1829,0.098
"...152","BBAP","CWA5","01/28/2025 12:00:00",0.16,"mg/L",25.7633,-80.1609,0.825
"...153","BBAP","LR03","06/11/2024 07:00:00",0.78,"mg/L",25.8468,-80.1829,0.048
"...154","BBAP","CWA2","03/18/2024 08:40:00",0.3,"mg/L",25.7513,-80.1585,0.148
"...155","BBAP","CWA2","01/28/2025 12:45:00",0.46,"mg/L",25.7513,-80.1585,0.529
"...156","BBAP","JT66","07/30/2024 11:20:00",0.47,"mg/L",25.8165,-80.147,0.407
"...157","BBAP","CWA5","02/25/2025 10:05:00",0.16,"mg/L",25.7633,-80.1609,0.772
"...158","BBAP","WQ02","07/30/2024 12:50:00",0.43,"mg/L",25.8533,-80.1455,0.819
"...159","BBAP","LR03","07/01/2024 12:40:00",0.97,"mg/L",25.8468,-80.1829,0.121
"...160","BBAP","JT66","06/17/2024 13:40:00",0.48,"mg/L",25.8165,-80.147,0.679
"...161","BBAP","LR03","05/06/2024 14:10:00",0.68,"mg/L",25.8468,-80.1829,0.916
"...162","BBAP","MRSC","01/28/2025 12:45:00",0.75,"mg/L",25.8072,-80.2599,0.535
"...163","BBAP","VS01","06/17/2024 10:20:00",0.38,"mg/L",25.8009,-80.1591,0.806
"...164","BBAP","JT66","01/08/2025 09:35:00",0.24,"mg/L",25.8165,-80.147,0.565
"...165","BBAP","DM08","01/09/2025 10:40:00",0.31,"mg/L",25.8398,-80.1704,0.101
"...166","BBAP","MRSC","07/15/2024 09:15:00",1.1,"mg/L",25.8072,-80.2599,0.197
"...167","BBAP","VR11","06/11/2024 05:50:00",0.41,"mg/L",25.8047,-80.1794,0.881
"...168","BBAP","VR01","01/08/2025 07:55:00",0.21,"mg/L",25.8057,-80.1526,0.666
"...169","BBAP","VR01","07/30/2024 10:05:00",0.38,"mg/L",25.8057,-80.1526,0.134
"...170","BBAP","JT66","10/02/2024 14:45:00",0.25,"mg/L",25.8165,-80.147,0.448
"...171","BBAP","JT66","07/02/2024 11:15:00",0.47,"mg/L",25.8165,-80.147,0.781
"...172","BBAP","VR11","04/03/2024 08:50:00",0.29,"mg/L",25.8047,-80.1794,0.912
"...173","BBAP","VR01","09/04/2024 14:45:00",0.33,"mg/L",25.8057,-80.1526,0.482
"...174","BBAP","LR03","01/07/2020 13:20:00",0.94,"mg/L",25.8468,-80.1829,1
"...175","BBAP","DM08","02/05/2020 11:00:00",0.46,"mg/L",25.8398,-80.1704,1
"...176","BBAP","LR03","08/05/2019 19:05:00",0.93,"mg/L",25.8468,-80.1829,1
"...177","BBAP","JFK03","05/07/2019 19:05:00",0.33,"mg/L",25.8628,-80.1697,1
"...178","BBAP","DM08","12/10/2019 12:35:00",0.37,"mg/L",25.8398,-80.1704,1
"...179","BBAP","JT29","05/06/2019 16:55:00",0.37,"mg/L",25.8398,-80.1417,0.11
"...180","BBAP","DM08","02/14/2019 12:50:00",0.49,"mg/L",25.8398,-80.1704,0.2
"...181","BBAP","LR03","11/05/2019 09:55:00",0.7,"mg/L",25.8468,-80.1829,1
"...182","BBAP","DM28","02/14/2019 12:30:00",0.43,"mg/L",25.8379,-80.1775,0.8
"...183","BBAP","DM08","01/07/2020 11:20:00",0.45,"mg/L",25.8398,-80.1704,1
"...184","BBAP","DM08","11/05/2019 09:25:00",0.35,"mg/L",25.8398,-80.1704,1
"...185","BBAP","DM08","06/30/2019 13:55:00",0.57,"mg/L",25.8398,-80.1704,1
"...186","BBAP","LR03","08/17/2020 16:10:00",0.9,"mg/L",25.8468,-80.1829,0.137
"...187","BBAP","DM08","06/04/2019 15:40:00",0.21,"mg/L",25.8398,-80.1704,1
"...188","BBAP","BB14","08/17/2020 15:20:00",0.72,"mg/L",25.83,-80.1586,0.243
"...189","BBAP","BB14","08/13/2020 11:20:00",0.49,"mg/L",25.83,-80.1586,0.232
"...190","BBAP","LR03","08/13/2020 12:25:00",1,"mg/L",25.8468,-80.1829,0.207
"...191","BBAP","FK01","08/13/2020 10:30:00",0.58,"mg/L",25.82006,-80.16591,0.818
"...192","BBAP","JFK03","08/17/2020 16:30:00",1.2,"mg/L",25.8628,-80.1697,0.428
"...193","BBAP","DM08","08/13/2020 12:00:00",1.2,"mg/L",25.8398,-80.1704,0.265
"...194","BBAP","DM00","08/17/2020 15:00:00",0.82,"mg/L",25.83025,-80.16968,0.166
"...195","BBAP","JT61","08/13/2020 09:45:00",1.2,"mg/L",25.8169,-80.1782,0.648
"...196","BBAP","VR11","08/17/2020 13:45:00",0.6,"mg/L",25.8047,-80.1794,0.653
"...197","BBAP","LR03","05/04/2020 12:55:00",0.72,"mg/L",25.8468,-80.1829,0.02
"...198","BBAP","BB14","11/17/2020 15:25:00",0.3,"mg/L",25.83,-80.1586,0.532
"...199","BBAP","LR03","07/07/2020 17:20:00",0.91,"mg/L",25.8468,-80.1829,0.157
"...200","BBAP","VR01","05/05/2020 11:40:00",0.36,"mg/L",25.8057,-80.1526,0.375
"...201","BBAP","VR01","09/02/2020 14:15:00",0.32,"mg/L",25.8057,-80.1526,0.688
"...202","BBAP","BB14","10/13/2020 12:55:00",0.35,"mg/L",25.83,-80.1586,0.434
"...203","BBAP","LR03","09/01/2020 14:00:00",0.7,"mg/L",25.8468,-80.1829,0.193
"...204","BBAP","DM08","06/02/2020 11:15:00",0.51,"mg/L",25.8398,-80.1704,0.183
"...205","BBAP","JT66","07/06/2020 17:55:00",0.35,"mg/L",25.8165,-80.147,0.623
"...206","BBAP","LRSC","07/07/2020 13:30:00",0.9,"mg/L",25.849525,-80.188332,0.509
"...207","BBAP","VR01","04/06/2020 11:40:00",0.29,"mg/L",25.8057,-80.1526,0.526
"...208","BBAP","LR03","11/16/2020 14:20:00",1.1,"mg/L",25.8468,-80.1829,0.167
"...209","BBAP","VR11","04/07/2020 12:35:00",0.22,"mg/L",25.8047,-80.1794,0.688
"...210","BBAP","VR11","06/02/2020 10:05:00",0.36,"mg/L",25.8047,-80.1794,0.754
"...211","BBAP","LR03","08/26/2020 11:05:00",0.86,"mg/L",25.8468,-80.1829,0.194
"...212","BBAP","WQ01","07/07/2020 17:55:00",0.23,"mg/L",25.849,-80.1716,0.873
"...213","BBAP","BB14","09/02/2020 15:45:00",0.38,"mg/L",25.83,-80.1586,0.659
"...214","BBAP","LRUP","10/12/2020 12:40:00",0.9,"mg/L",25.871414,-80.242386,0.773
"...215","BBAP","JT66","09/02/2020 15:05:00",0.39,"mg/L",25.8165,-80.147,0.512
"...216","BBAP","JFK03","08/26/2020 11:35:00",0.59,"mg/L",25.8628,-80.1697,0.31
"...217","BBAP","JT61","06/02/2020 10:35:00",0.37,"mg/L",25.8169,-80.1782,0.703
"...218","BBAP","JT66","04/06/2020 13:00:00",0.26,"mg/L",25.8165,-80.147,0.35
"...219","BBAP","LRSP","11/16/2020 16:35:00",2.2,"mg/L",25.8757,-80.234877,0.741
"...220","BBAP","DM08","11/16/2020 13:50:00",0.49,"mg/L",25.8398,-80.1704,0.149
"...221","BBAP","BB14","08/26/2020 10:15:00",0.7,"mg/L",25.83,-80.1586,0.289
"...222","BBAP","BB14","05/05/2020 13:40:00",0.39,"mg/L",25.83,-80.1586,0.202
"...223","BBAP","JT66","05/05/2020 12:55:00",0.32,"mg/L",25.8165,-80.147,0.282
"...224","BBAP","JFK03","07/07/2020 18:15:00",0.37,"mg/L",25.8628,-80.1697,0.212
"...225","BBAP","VR01","10/13/2020 11:00:00",0.36,"mg/L",25.8057,-80.1526,0.512
"...226","BBAP","LRNSP","11/16/2020 15:00:00",2.1,"mg/L",25.889928,-80.242964,0.604
"...227","BBAP","TOW1","06/03/2020 15:00:00",0.23,"mg/L",25.832759,-80.180765,0.5
"...228","BBAP","LR06","10/12/2020 10:40:00",1,"mg/L",25.853524,-80.19291,0.983
"...229","BBAP","LRSP","10/12/2020 11:40:00",2.2,"mg/L",25.8757,-80.234877,0.797
"...230","BBAP","VR01","09/02/2020 14:05:00",0.38,"mg/L",25.8057,-80.1526,0.688
"...231","BBAP","JT71","05/05/2020 13:15:00",0.37,"mg/L",25.8217,-80.1513,0.219
"...232","BBAP","JT71","07/06/2020 17:30:00",0.38,"mg/L",25.8217,-80.1513,0.176
"...233","BBAP","JT71","11/17/2020 15:00:00",0.33,"mg/L",25.8217,-80.1513,0.206
"...234","BBAP","JT71","09/02/2020 15:25:00",0.32,"mg/L",25.8217,-80.1513,0.547
"...235","BBAP","LR03","10/12/2020 10:15:00",0.65,"mg/L",25.8468,-80.1829,0.211
"...236","BBAP","LRUP","11/16/2020 15:45:00",0.82,"mg/L",25.871414,-80.242386,0.673
"...237","BBAP","LR05","09/01/2020 16:35:00",1.2,"mg/L",25.871488,-80.231037,0.56
"...238","BBAP","LR06","07/07/2020 13:00:00",0.97,"mg/L",25.853524,-80.19291,0.909
"...239","BBAP","JFK03","09/01/2020 14:50:00",0.47,"mg/L",25.8628,-80.1697,0.736
"...240","BBAP","VR11","07/07/2020 15:20:00",0.28,"mg/L",25.8047,-80.1794,0.709
"...241","BBAP","JFK03","11/16/2020 15:20:00",0.5,"mg/L",25.8628,-80.1697,0.587
"...242","BBAP","VR01","11/17/2020 13:45:00",0.26,"mg/L",25.8057,-80.1526,0.673
"...243","BBAP","BB14","04/06/2020 14:05:00",0.34,"mg/L",25.83,-80.1586,0.222
"...244","BBAP","BB14","04/06/2020 13:45:00",0.29,"mg/L",25.83,-80.1586,0.222
"...245","BBAP","JFK03","05/04/2020 13:45:00",0.32,"mg/L",25.8628,-80.1697,0.161
"...246","BBAP","BB14","07/06/2020 17:15:00",0.31,"mg/L",25.83,-80.1586,0.18
"...247","BBAP","JT61","07/07/2020 15:35:00",0.33,"mg/L",25.8169,-80.1782,0.754
"...248","BBAP","JT61","04/07/2020 13:00:00",0.33,"mg/L",25.8169,-80.1782,0.68
"...249","BBAP","LR03","06/02/2020 11:45:00",1,"mg/L",25.8468,-80.1829,0.117
"...250","BBAP","TOW3","06/03/2020 16:10:00",0.84,"mg/L",25.835063,-80.180414,0.25
"...251","BBAP","DM08","05/04/2020 12:05:00",0.43,"mg/L",25.8398,-80.1704,0.036
"...252","BBAP","DM28","04/07/2020 13:30:00",0.45,"mg/L",25.8379,-80.1775,0.242
"...253","BBAP","JT61","08/26/2020 09:05:00",0.56,"mg/L",25.8169,-80.1782,0.641
"...254","BBAP","VR11","11/16/2020 13:00:00",0.57,"mg/L",25.8047,-80.1794,0.99
"...255","BBAP","LR03","04/07/2020 14:25:00",0.43,"mg/L",25.8468,-80.1829,0.002
"...256","BBAP","JT66","11/17/2020 14:30:00",0.33,"mg/L",25.8165,-80.147,0.852
"...257","BBAP","JFK03","11/16/2020 15:10:00",0.45,"mg/L",25.8628,-80.1697,0.587
"...258","BBAP","VR11","05/04/2020 10:25:00",0.35,"mg/L",25.8047,-80.1794,0.767
"...259","BBAP","JT71","10/13/2020 12:35:00",0.39,"mg/L",25.8217,-80.1513,0.143
"...260","BBAP","DM08","04/07/2020 13:55:00",0.32,"mg/L",25.8398,-80.1704,0.018
"...261","BBAP","VR01","07/06/2020 14:50:00",0.34,"mg/L",25.8057,-80.1526,0.671
"...262","BBAP","DM08","10/12/2020 10:00:00",0.38,"mg/L",25.8398,-80.1704,0.239
"...263","BBAP","JFK03","10/12/2020 11:15:00",0.32,"mg/L",25.8628,-80.1697,0.761
"...264","BBAP","JT66","10/13/2020 12:15:00",0.33,"mg/L",25.8165,-80.147,0.425
"...265","BBAP","DM08","08/26/2020 10:45:00",0.55,"mg/L",25.8398,-80.1704,0.262
"...266","BBAP","JFK03","04/07/2020 15:30:00",0.24,"mg/L",25.8628,-80.1697,0.237
"...267","BBAP","JT61","05/04/2020 10:50:00",0.41,"mg/L",25.8169,-80.1782,0.564
"...268","BBAP","DM08","07/07/2020 16:55:00",0.47,"mg/L",25.8398,-80.1704,0.112
"...269","BBAP","JT71","04/06/2020 13:25:00",0.3,"mg/L",25.8217,-80.1513,0.342
"...270","BBAP","JT61","05/04/2020 11:00:00",0.34,"mg/L",25.8169,-80.1782,0.564
"...271","BBAP","VR11","07/07/2020 15:00:00",0.3,"mg/L",25.8047,-80.1794,0.709
"...272","BBAP","DM08","09/01/2020 13:30:00",0.43,"mg/L",25.8398,-80.1704,0.391
"...273","BBAP","BB14","12/08/2020 08:50:00",0.31,"mg/L",25.83,-80.1586,0.107
"...274","BBAP","DM08","12/09/2020 08:45:00",0.37,"mg/L",25.8398,-80.1704,0.5
